G,speed,peak
0,0.1,10.622895622895621
0,0.5,10.531238309016087
0,0.9,10.65843621399177
0,1.3000000000000003,10.47699214365881
0,1.7000000000000002,10.273101384212495
0,2.1,10.306771417882532
0,2.5000000000000004,10.49382716049383
0,2.9000000000000004,10.604190048634493
0,3.3000000000000003,10.467639356528245
0,3.7,10.344182566404788
0,4.1,10.57052001496446
0,4.5,10.11410400299289
0,4.9,10.417134306023197
0,5.3,10.607931163486716
0,5.7,10.600448933782266
0,6.1,10.574261129816685
0,6.5,10.353535353535355
0,6.9,10.323606434717545
0,7.3,10.368499812944258
0,7.7,10.13655069210625
0,8.1,10.654695099139543
0,8.5,10.495697717919938
0,8.9,10.830527497194165
0,9.3,10.497568275346053
0,9.700000000000001,10.390946502057615
0,10.1,10.42087542087542
0,10.5,10.411522633744855
0,10.9,10.536849981294425
0,11.3,10.014964459408905
0,11.700000000000001,10.420875420875422
2,0.1,10.400299289188178
2,0.5,10.447063224841003
2,0.9,10.512532734754958
2,1.3000000000000003,10.443322109988776
2,1.7000000000000002,10.38159371492705
2,2.1,10.568649457538347
2,2.5000000000000004,10.480733258511037
2,2.9000000000000004,10.357276468387578
2,3.3000000000000003,10.228208005985785
2,3.7,10.576131687242796
2,4.1,10.30677141788253
2,4.5,10.16273849607183
2,4.9,9.940142162364385
2,5.3,10.052375607931165
2,5.7,9.942012719790497
2,6.1,10.089786756453423
2,6.5,10.059857837635615
2,6.9,10.353535353535355
2,7.3,9.975682753460532
2,7.7,10.218855218855218
2,8.1,9.872802095024317
2,8.5,10.089786756453423
2,8.9,9.867190422745976
2,9.3,10.028058361391693
2,9.700000000000001,9.764309764309765
2,10.1,10.07669285447063
2,10.5,9.93640104751216
2,10.9,10.14964459408904
2,11.3,10.245043022820802
2,11.700000000000001,9.932659932659933
4,0.1,8.881406659184439
4,0.5,10.013093901982788
4,0.9,10.774410774410777
4,1.3000000000000003,10.847362514029182
4,1.7000000000000002,10.684624017957352
4,2.1,10.13280957725402
4,2.5000000000000004,9.19004863449308
4,2.9000000000000004,9.132061354283575
4,3.3000000000000003,9.672652450430231
4,3.7,9.263000374111488
4,4.1,8.931911709689487
4,4.5,9.002992891881782
4,4.9,9.175084175084177
4,5.3,8.497942386831278
4,5.7,7.837635615413393
4,6.1,8.200523756079313
4,6.5,7.242798353909465
4,6.9,7.05761316872428
4,7.3,7.50280583613917
4,7.7,6.367377478488591
4,8.1,6.447811447811448
4,8.5,6.266367377478489
4,8.9,5.881032547699214
4,9.3,6.281331836887392
4,9.700000000000001,5.905349794238684
4,10.1,5.9633370744481855
4,10.5,6.008230452674897
4,10.9,5.937149270482604
4,11.3,5.823045267489713
4,11.700000000000001,6.300037411148523
6,0.1,8.806584362139919
6,0.5,8.924429479985037
6,0.9,9.322858211747102
6,1.3000000000000003,11.359895248784138
6,1.7000000000000002,10.4320987654321
6,2.1,9.468761690983914
6,2.5000000000000004,8.04900860456416
