G,speed,plvD_r,aecD_r,plvT_r,aecT_r,plvA_r,aecA_r,plvB_r,aecB_r,plvG_r,aecG_r,Average,PLVavg,AECavg
17.4,9.9,0.193931311,0.170223903,0.284354839,0.341804261,0.290786817,0.240988734,0.301100439,0.324635739,0.179667158,0.255469892,0.258296309,0.249968113,0.266624506
16.4,5.9,0.176660624,0.11769257,0.305690058,0.328055032,0.347773791,0.250239334,0.297292874,0.271426431,0.215622141,0.268569608,0.257902246,0.268607898,0.247196595
16.6,7.9,0.235803898,0.168270736,0.375462109,0.265952713,0.390292992,0.239664924,0.291067703,0.266021121,0.140613421,0.204380038,0.257752966,0.286648025,0.228857906
17,5.9,0.237816632,0.191341611,0.271525563,0.36187978,0.299339418,0.318071539,0.229248549,0.275424021,0.183137994,0.209270342,0.257705545,0.244213631,0.271197459
16,4.5,0.134153074,0.171423493,0.321707687,0.345164817,0.393307204,0.217229904,0.260235206,0.239993573,0.251850309,0.241460008,0.257652528,0.272250696,0.243054359
16.6,5.5,0.179024352,0.176244285,0.284037294,0.320395179,0.381385375,0.266422626,0.26087008,0.247087409,0.216755106,0.238751385,0.257097309,0.264414441,0.249780177
16.2,5.5,0.250260842,0.086246043,0.368523057,0.244401685,0.358859388,0.265851119,0.276374417,0.29998589,0.179468829,0.239712023,0.256968329,0.286697307,0.227239352
16,3.7,0.16238804,0.194429862,0.303900123,0.311650471,0.370886814,0.263735931,0.233300646,0.235618273,0.258740803,0.231200791,0.256585175,0.265843285,0.247327066
17.6,9.9,0.252472744,0.183922934,0.240132958,0.35011366,0.279404946,0.371230061,0.262388031,0.339043832,0.152514185,0.132893741,0.256411709,0.237382573,0.275440846
15.8,4.3,0.136743629,0.21131837,0.278544363,0.337356832,0.308922349,0.25013117,0.248609352,0.268144502,0.265511468,0.258384811,0.256366685,0.247666232,0.265067137
16.2,4.3,0.190368345,0.185320076,0.302149875,0.350998569,0.350185337,0.216092975,0.224652781,0.236446515,0.263596965,0.241719553,0.256153099,0.266190661,0.246115538
15.4,3.5,0.183905368,0.236666459,0.272380879,0.348144671,0.318445345,0.198789321,0.276651013,0.257379957,0.262672034,0.205247821,0.256028287,0.262810928,0.249245646
16.6,3.5,0.263717767,0.192559912,0.305345908,0.309172339,0.372640321,0.289446422,0.186593526,0.249389621,0.236005618,0.153556075,0.255842751,0.272860628,0.238824874
16.2,4.7,0.152411014,0.194764575,0.287174622,0.3288921,0.381710935,0.226336812,0.257330564,0.250175906,0.224399825,0.253558771,0.255675512,0.260605392,0.250745633
16.4,4.7,0.193884088,0.181411281,0.317532429,0.356519134,0.342684219,0.17615496,0.240428433,0.246409992,0.252298543,0.249274779,0.255659786,0.269365542,0.241954029
17,6.3,0.231667392,0.201759335,0.2650151,0.364774243,0.281900352,0.244353418,0.247756949,0.294132726,0.192132662,0.226338709,0.254983089,0.243694491,0.266271686
17.4,7.5,0.262267276,0.172012551,0.265162301,0.362991015,0.315430615,0.357966611,0.22247979,0.29519706,0.15327314,0.142376662,0.254915702,0.243722624,0.26610878
16,4.1,0.152848133,0.218599707,0.308096641,0.374973447,0.342738576,0.221761639,0.242824723,0.228327771,0.244643808,0.213957256,0.25487717,0.258230376,0.251523964
14.8,3.5,0.199553534,0.136008128,0.29784942,0.277079764,0.298180546,0.164894498,0.335751959,0.329934404,0.267719268,0.238849156,0.254582068,0.279810945,0.22935319
16.8,5.5,0.199945845,0.195604558,0.280602002,0.349450205,0.30791674,0.292532124,0.229356994,0.237262463,0.192334415,0.259940132,0.254494548,0.242031199,0.266957896
14.6,3.1,0.234291039,0.177573677,0.288866445,0.296911108,0.292743014,0.167784048,0.284117577,0.307190621,0.262411803,0.22610607,0.25379954,0.272485976,0.235113105
17.6,9.1,0.278218788,0.150830777,0.277317335,0.351404117,0.305674048,0.30425837,0.252999721,0.306297405,0.1602156,0.141387574,0.252860374,0.254885098,0.250835649
14.2,2.7,0.235755372,0.208460271,0.329864961,0.288782417,0.247753163,0.184777174,0.267252719,0.283116206,0.251371003,0.228528692,0.252566198,0.266399444,0.238732952
16.6,5.1,0.219877656,0.221259382,0.287963559,0.353338603,0.337957891,0.203429928,0.257581412,0.235346274,0.154721431,0.253841714,0.252531785,0.25162039,0.25344318
16,4.3,0.142434131,0.148825217,0.310535628,0.344736866,0.361382661,0.21369085,0.261031227,0.233284748,0.276284576,0.230971467,0.252317737,0.270333645,0.23430183
16.8,5.9,0.187828061,0.189762263,0.292465945,0.316526407,0.360074239,0.232732831,0.261392777,0.246936836,0.185088746,0.244308776,0.251711688,0.257369954,0.246053423
16.6,5.9,0.178828674,0.168608362,0.299464949,0.300663222,0.354018196,0.211587687,0.282537792,0.231962018,0.25430826,0.234474446,0.251645361,0.273831574,0.229459147
17.4,7.9,0.26582336,0.18412871,0.232981732,0.346899225,0.2954652,0.303546746,0.249046868,0.294360327,0.17329608,0.167334506,0.251288275,0.243322648,0.259253903
17.6,7.5,0.292524505,0.158911662,0.232225173,0.319355824,0.317343648,0.320991576,0.232682392,0.311256915,0.156588297,0.168930835,0.251081083,0.246272803,0.255889362
17.4,7.1,0.246179387,0.172241806,0.239103463,0.337623986,0.32652613,0.283527934,0.267020512,0.308599144,0.144285853,0.184787653,0.250989587,0.244623069,0.257356105
14.4,3.5,0.194376742,0.194664897,0.346902419,0.270472997,0.322703206,0.193743732,0.204321444,0.238708304,0.257833168,0.284809727,0.250853664,0.265227396,0.236479931
16.2,3.9,0.142236632,0.23763999,0.286590825,0.368214601,0.335100605,0.197119265,0.228032024,0.228100047,0.252970084,0.227162654,0.250316673,0.248986034,0.251647311
17.4,9.1,0.242059614,0.166561019,0.265610183,0.336289412,0.28031973,0.314316208,0.267347996,0.317608484,0.13879209,0.170488199,0.249939294,0.238825923,0.261052664
17.6,8.7,0.259081033,0.177797838,0.277235266,0.302951828,0.322833032,0.328188903,0.279107855,0.262029647,0.140099227,0.148258974,0.24975836,0.255671283,0.243845438
14,2.5,0.263442024,0.234706762,0.322519853,0.274980736,0.255759272,0.129167464,0.291195288,0.272550891,0.234075667,0.217463557,0.249586151,0.273398421,0.225773882
16,3.9,0.149669651,0.22842754,0.283658198,0.300721245,0.330795072,0.230229509,0.253419023,0.237819977,0.243342358,0.237488948,0.249557152,0.25217686,0.246937444
16.4,3.1,0.209604023,0.222228146,0.293616418,0.304332077,0.361317497,0.297580705,0.210591874,0.214494368,0.239726678,0.141989148,0.249548093,0.262971298,0.236124889
16.8,5.1,0.161378502,0.211081874,0.287603282,0.316665159,0.333233,0.262767965,0.247475394,0.254686419,0.207955985,0.210359007,0.249320659,0.247529233,0.251112085
17,5.5,0.1831158,0.188023778,0.275770968,0.358682935,0.319564393,0.305132386,0.205956444,0.272790417,0.184401956,0.197670488,0.249110957,0.233761912,0.264460001
17.2,4.7,0.254429322,0.153940964,0.266668459,0.314616929,0.343616949,0.363664528,0.187578797,0.267618725,0.196642328,0.132587387,0.248136439,0.249787171,0.246485707
17.4,6.7,0.262332012,0.084846677,0.264329047,0.353024533,0.325606335,0.362800998,0.219673965,0.315342616,0.146126572,0.140914267,0.247499702,0.243613586,0.251385818
16.8,8.3,0.261231804,0.122297691,0.354456108,0.252590424,0.33930249,0.258545109,0.318098955,0.274510852,0.103625732,0.189726758,0.247438592,0.275343018,0.219534167
14,2.7,0.274490489,0.138930126,0.330808629,0.308708299,0.240494645,0.162975172,0.269181472,0.291249238,0.223635518,0.230016182,0.247048977,0.267722151,0.226375803
16.8,4.7,0.17087601,0.204135043,0.268642625,0.332303426,0.315163317,0.258145174,0.20879808,0.269441846,0.203160027,0.235897573,0.246656312,0.233328012,0.259984612
15,3.1,0.153454574,0.196292817,0.279702631,0.318711529,0.334506913,0.180363765,0.266597938,0.240923402,0.305101424,0.187156485,0.246281148,0.267872696,0.2246896
16.2,7.1,0.232635095,0.087121541,0.344782891,0.223656033,0.364406825,0.234559003,0.300758315,0.290749481,0.138609356,0.24362372,0.246090226,0.276238496,0.215941956
16.8,8.7,0.210875471,0.10848086,0.370492094,0.24811067,0.354271638,0.291250125,0.318965418,0.287460759,0.051373609,0.215993253,0.24572739,0.261195646,0.230259133
17.2,5.1,0.273287377,0.20241512,0.213992495,0.361309194,0.294938219,0.305419376,0.218473286,0.273041273,0.19400493,0.120260089,0.245714136,0.238939261,0.25248901
16.4,5.1,0.140342479,0.152786853,0.303000294,0.338128625,0.370029081,0.219869538,0.250865275,0.230479913,0.215078627,0.23619593,0.245677662,0.255863151,0.235492172
16.8,9.9,0.216480702,0.099580519,0.362823526,0.221680844,0.324553569,0.255919287,0.356543041,0.284207712,0.102194814,0.230266181,0.24542502,0.27251913,0.218330909
16.6,4.7,0.197049489,0.204071573,0.27370927,0.324272734,0.341183474,0.248954055,0.183248389,0.237712,0.214262396,0.229486314,0.245394969,0.241890604,0.248899335
15.8,3.5,0.154880847,0.1905731,0.281806749,0.319012407,0.362086568,0.263417744,0.237689493,0.18309941,0.290108987,0.171183878,0.245385918,0.265314529,0.225457308
17.6,7.9,0.257191345,0.151170725,0.225791259,0.331615298,0.30883201,0.348576789,0.239992319,0.28023436,0.169889938,0.13113901,0.244443305,0.240339374,0.248547236
17.2,6.3,0.229812769,0.125434143,0.259535173,0.336149736,0.308223114,0.3025564,0.263725801,0.285087468,0.163448742,0.167844217,0.244181756,0.24494912,0.243414393
12,1.7,0.278932308,0.258096362,0.33662716,0.252835285,0.287823109,0.150087074,0.266477393,0.262857508,0.190907194,0.154169666,0.243881306,0.272153433,0.215609179
17.2,5.9,0.282928971,0.131409703,0.236706208,0.336177363,0.324407423,0.310304547,0.216710533,0.291887235,0.162281692,0.142469669,0.243528334,0.244606965,0.242449703
17.8,8.7,0.314538402,0.051144814,0.246840159,0.368930735,0.294258234,0.336564707,0.234920581,0.24909534,0.21283774,0.122135684,0.24312664,0.260679023,0.225574256
16.6,4.3,0.161967443,0.206737572,0.266212842,0.321686771,0.337043586,0.244061773,0.209824908,0.251658426,0.217650031,0.21281656,0.242965991,0.238539762,0.24739222
14.2,3.5,0.22171736,0.131584727,0.375135583,0.212592519,0.276250344,0.233889177,0.237747635,0.218123317,0.242018843,0.279580489,0.242863999,0.270573953,0.215154046
16.4,3.9,0.158320377,0.157828224,0.270233944,0.317663386,0.339658851,0.270409397,0.183621762,0.241450187,0.253119259,0.233510793,0.242581618,0.240990839,0.244172397
17.2,9.9,0.286825289,0.073156225,0.350391705,0.225597172,0.315083312,0.238910099,0.355882914,0.30447577,0.067649409,0.202862403,0.24208343,0.275166526,0.209000334
17.2,6.7,0.271554283,0.149414412,0.240501634,0.344536393,0.276144037,0.264495182,0.23152283,0.308858545,0.171899252,0.155361643,0.241428821,0.238324407,0.244533235
15.6,3.1,0.126324273,0.214989056,0.263589194,0.294071803,0.332600255,0.24847943,0.234668913,0.198766295,0.286396397,0.200478821,0.240036444,0.248715806,0.231357081
16.4,4.3,0.188060381,0.218482856,0.278732366,0.299108418,0.365513553,0.241510656,0.142183242,0.219289578,0.206032671,0.240459112,0.239937283,0.236104443,0.243770124
15.4,3.9,0.131286486,0.242203062,0.267756262,0.299642996,0.333694974,0.148040148,0.263464775,0.233154915,0.28103229,0.19605067,0.239632658,0.255446957,0.223818358
16.8,3.9,0.246917909,0.102325502,0.289783528,0.33696413,0.351965044,0.276423464,0.204483777,0.265132816,0.201646561,0.119423922,0.239506665,0.258959364,0.220053967
15.2,3.5,0.134275908,0.227715667,0.275436939,0.326944918,0.32529847,0.152530093,0.241749341,0.266882317,0.257972735,0.185867362,0.239467375,0.246946679,0.231988071
16.8,3.1,0.260560402,0.130897138,0.280626528,0.308301116,0.349407816,0.290912543,0.195232829,0.18178249,0.260972757,0.133227555,0.239192117,0.269360066,0.209024168
16.8,7.1,0.240020821,0.101145515,0.347463295,0.23280932,0.281839905,0.247700369,0.294306153,0.290799503,0.16375544,0.175055499,0.237489582,0.265477123,0.209502041
17.8,9.5,0.278832439,0.064628558,0.238239143,0.337699683,0.290826078,0.365281181,0.222573201,0.288292552,0.174297394,0.110744822,0.237141505,0.240953651,0.233329359
17,9.1,0.235491781,0.092772484,0.317468227,0.228489824,0.300399237,0.270641794,0.330174635,0.273695672,0.108251164,0.212942475,0.237032729,0.258357009,0.21570845
14.4,2.3,0.272015581,0.188015743,0.281479405,0.290201223,0.308145909,0.171925035,0.236548709,0.210940142,0.254605166,0.149770921,0.236364783,0.270558954,0.202170613
16,3.5,0.122243959,0.219719619,0.273845266,0.311609692,0.299314927,0.215949504,0.20286437,0.221997441,0.268287734,0.219674252,0.235550676,0.233311251,0.237790102
15.2,3.1,0.148352023,0.20957805,0.270029642,0.287035638,0.333947871,0.122156445,0.254385636,0.218158004,0.288706491,0.218602721,0.235095252,0.259084333,0.211106172
16.6,3.9,0.137709376,0.138973619,0.282404831,0.35205785,0.36805367,0.2382796,0.204831405,0.213769696,0.212975328,0.200654674,0.234971005,0.241194922,0.228747088
17.8,9.1,0.269632269,0.104147915,0.22827481,0.374549144,0.277914624,0.330520607,0.242602819,0.255393313,0.175655095,0.089355064,0.234804566,0.238815923,0.230793209
15,3.5,0.16871427,0.149737703,0.268169002,0.285706719,0.30072505,0.141448771,0.25033013,0.287095428,0.267876636,0.217736672,0.233754038,0.251163018,0.216345059
17.6,6.3,0.265181706,0.075087098,0.259720389,0.336440798,0.287092191,0.361546144,0.219023343,0.250528206,0.189596801,0.085785352,0.233000203,0.244122886,0.22187752
17,9.9,0.257518992,0.116686655,0.342051676,0.21150115,0.343844985,0.270364792,0.307146316,0.25717358,0.04594684,0.175200191,0.232743518,0.259301762,0.206185274
14.2,2.3,0.266471211,0.203975524,0.298721979,0.275550732,0.292808791,0.169570672,0.2405499,0.191053031,0.220790821,0.159347904,0.231884057,0.26386854,0.199899573
17,3.9,0.23543039,0.113503589,0.274190328,0.338876834,0.338443131,0.286724728,0.191216721,0.231442365,0.200913285,0.105155034,0.231589641,0.248038771,0.21514051
14,2.1,0.263360307,0.223193244,0.306914005,0.247427842,0.311011017,0.170779553,0.274971554,0.174453531,0.24390511,0.098513899,0.231453006,0.280032399,0.182873614
18,9.3,0.200349301,0.05895612,0.278753088,0.330745486,0.302049716,0.391368069,0.218792306,0.252605855,0.179694483,0.095532342,0.230884677,0.235927779,0.225841574
16.2,2.3,0.298759127,0.128076647,0.308335164,0.279313076,0.329571125,0.243706702,0.204627227,0.223896556,0.185684877,0.100750123,0.230272062,0.265395504,0.195148621
15.4,3.1,0.128348384,0.203046278,0.271229777,0.26288401,0.332675739,0.228278266,0.225566604,0.188833946,0.299497149,0.162337825,0.230269798,0.251463531,0.209076065
14,2.3,0.258302957,0.2177675,0.311891532,0.247986721,0.268904694,0.170141417,0.26380354,0.199176875,0.206797503,0.153544293,0.229831703,0.261940045,0.197723361
16.8,3.5,0.250546984,0.10046864,0.261733687,0.301408883,0.341167162,0.310730167,0.183955982,0.226754492,0.190177915,0.121034822,0.228797873,0.245516346,0.212079401
14.8,2.7,0.199940153,0.196750461,0.2720928,0.282349176,0.295415694,0.167929365,0.245566075,0.205069365,0.254284806,0.167150487,0.228654838,0.253459906,0.203849771
16.4,3.5,0.136301648,0.152848858,0.271441894,0.326375005,0.336372225,0.286897082,0.154228194,0.209697139,0.229021643,0.177615238,0.228079893,0.225473121,0.230686664
14.4,1.9,0.321528483,0.225392704,0.24909973,0.291763075,0.298016052,0.130432146,0.224172823,0.174467631,0.205243887,0.159282892,0.227939942,0.259612195,0.19626769
