G,speed,plvD_r,pliD_r,aecD_r,plvT_r,pliT_r,aecT_r,plvA_r,pliA_r,aecA_r,plvB_r,pliB_r,aecB_r,plvG_r,pliG_r,aecG_r
0.5,0.5,-0.034172773361353194,-0.0144887985533684,0.002720588902556204,0.04384813881070222,0.01913466651215055,0.032038504859633554,-0.03629155409765422,-0.017834599925797917,-0.012472645808512206,0.050967293142459034,0.01644310238536223,0.033369739959777274,0.0022975345726716423,-0.00017690573531398097,-0.014163608129046486
0.5,2.5,0.005355642372467194,0.031279248289926745,-0.005695246765140309,0.012742214107682958,0.006199605150769863,0.02252079977387561,-0.005407253383945358,0.020164665975205925,-0.0010220188003567296,-0.036394354526559806,0.005598819744445674,-0.029905137803403422,-0.020810389058524264,0.013251254401037077,-0.019349921977993127
0.5,4.5,-0.011212774823792893,0.0045564314690979164,0.0013617954417329487,-0.004523010941947645,0.018103400808342603,0.0005758823426638042,0.01709069723061712,0.05726665628031457,0.005143220139643957,-0.023544741557327102,-0.002612130903261704,0.054495994575954776,8.677568954002409e-05,-0.02795004284884637,0.004330655680283885
0.5,6.5,0.030744800510696595,0.031023274845181217,-0.03825416091227433,-0.0035035478367969343,-0.0248483044027047,-0.005032167453839069,-0.000521624828019429,0.014121942310485951,-0.010697208240946804,0.013644941822724844,-0.0190980252926537,-0.01390314704121684,-0.018218625641194756,0.023374932360303084,0.01121918226735943
0.5,8.5,-0.020852558253820173,0.0025032930102503333,-0.0016168144390760605,-0.037535529633500625,-0.05549407049077336,0.028964210464481475,0.011370245477056217,-0.00821944092454365,0.015652458627296428,0.025974086415537646,-0.01811810140121998,0.009792977626459143,0.04122901681784404,-0.019881907808994286,-0.03526946460461624
0.5,10.5,0.006021611708460863,0.005105362907436728,0.005414537430157789,-0.01573178300507192,-0.027777314618985298,-0.06180348513443415,0.02503035898282409,0.019671440333626233,-0.005444706550184208,-0.012998054615913033,0.015391062804950398,0.016246516890211445,-0.0118538882374824,0.012213236394879975,-0.006459680206970838
0.5,12.5,-0.02992879203429585,-0.026294038425225267,0.021259936890160494,0.0245589209284268,-0.000923618496698072,-0.00020683584694055986,0.04550713867294182,-0.04360947649629826,0.009912440009814743,-0.028560538909463036,0.015858616508817282,-0.006512345282312109,0.013376371607107605,0.004146234323205733,0.017737339218818114
0.5,14.5,0.002727323792841376,0.013215757085995188,0.0237950507109553,0.02745774151201397,-0.005665103686787601,-0.02417479045147791,-0.029732289861048828,0.01149095595011209,0.028789300564890354,-0.0009411096609330527,0.005920687021127063,0.01918072105894154,0.005848202145127589,0.031797910122391054,0.0036030800232026007
0.5,16.5,0.0034694426193491805,0.016492556809557007,-0.018829733961007386,-0.010552257514278286,-0.01293898898742108,-0.022508391084683076,-0.02925903584183721,-0.02830735781024925,0.0036057411335907877,0.0023373510764639113,0.007223171209590332,0.017311501438522232,-0.03348697594078813,-0.027080008005744505,0.025083183387452402
0.5,18.5,0.03030636780190391,0.009842766248449568,-0.0038561674843882645,-0.054548940643688947,-0.01252465863025497,-0.020966858510414656,-0.011326068340881118,0.02196992605910983,-0.004589266299119918,0.015385482825595775,-0.011857043938621309,0.010646063920812375,0.007210911954956907,0.003708442524652056,2.4129470142145327e-05
3.5,0.5,-0.03162532344985914,-0.01257624254836385,-0.025850221821690608,-0.0241609885138013,0.02948834412159377,0.031057245411046,0.008396924930648631,-0.007958637754313514,0.014193218928789922,-0.020276663655592313,0.03129722352393613,-0.0026386413625451217,-0.014031357398327199,0.004644360210352141,-0.04139592718574519
3.5,2.5,-0.005897177540401364,-0.01695516448726294,0.008429120555061521,-0.01474169613923943,-0.016371616665471954,0.045902798924077455,-0.004564310778361797,0.044872877680095076,-0.01107473778309489,0.014706887582129133,-0.033895228319836185,0.03180427596744404,0.0033344905632086866,-0.031497016388060316,-0.009927948263469847
3.5,4.5,-0.029297179276777836,-0.007319489617726332,-0.05083171785682194,0.052074213473191334,0.017280157912246488,0.007651997750378827,0.002165826339196396,0.021644598230993184,0.0185635535945852,-0.037294781532505636,0.02597982801509966,0.0055055417247626805,-0.03684607077936111,0.02691105960432756,0.003923569365648506
3.5,6.5,-0.01844286746027129,-0.02866369408895421,-0.01995880947647848,0.025419474353673446,0.012756201635055775,-0.013747108662897481,0.002661322534970875,-0.02915884335772683,-0.031829073430635985,0.0024129738959191606,-0.01293038375472148,0.029763351115411445,0.0012750908347877081,0.052540242205257826,0.00023638675888768915
3.5,8.5,0.03456523670502491,0.04803496177615332,-0.01650918677320093,-0.00039307640886562383,-0.03437374991076182,0.006356817481744872,-0.016412376479870486,0.02261752441897869,-0.054452243019415016,0.007789950147832692,0.014676566917064211,-0.032272708013205496,-0.0041234007808281185,-0.02764005882480105,-0.03337927102682273
3.5,10.5,0.04351206654459,0.026564865244950452,-0.018531360080872014,0.012779855047501256,0.026459265631675517,-0.033798399095738105,-0.008184051230596066,-0.0008655405536392724,-0.022896753666886798,0.00457604964615276,0.01139953590642922,0.03587511383599859,-0.024160320852590688,0.010665274685265343,-0.006496320320456375
3.5,12.5,-0.020322341469697785,0.0137617672525707,0.016296244345916013,-0.023602555353313258,-0.011210136278806425,0.030903843233811467,0.012916394468469612,-0.01829674526220385,-0.0010407663746747372,-0.01267112076730227,0.019658690762251626,0.02158665801129785,-0.0011728517019267476,0.013007494160547414,0.03660875870447837
3.5,14.5,0.007532463810130178,-0.023493756141456004,0.0003315268920525584,-0.0194897708008617,0.03676655091396853,-0.01958793025673027,-0.0005894712447528448,0.0003217381438275002,-0.00937954913187347,-0.0020576625296335575,0.02396746008534855,0.021982977804858826,0.021166921695839332,0.015584362492691385,0.023032687393909873
3.5,16.5,-0.01772974123440895,-0.02461548757750715,0.009052050770684104,0.030054365880927955,0.008206269677360633,0.03891352853908678,0.006290900000647053,0.018729638184412777,0.018981391909062742,-0.022280638018555666,-0.00510421787244553,-0.01637647587588582,-0.03756251851383851,-0.01835042457208004,0.033891747964715724
3.5,18.5,0.0064589032776722274,0.03608709987072455,-0.008757718948824982,0.021395285251789395,0.005263921192732716,0.020000234411160597,-0.015498214927660072,-0.02616213680022194,0.008096944070097126,0.010274761364480994,-0.021575899296404123,-0.03946949869294555,-0.01090277506278732,0.005486866228517089,0.0068753672939075765
6.5,0.5,-0.004101238282791015,0.028002720060191857,0.034687122378066426,0.018506344111513705,-0.053052240672396465,-0.011216627097059399,-0.04241764596616541,0.0130437501969244,-0.01411241461729108,0.020266348871491056,-0.021515334070621384,-0.026782449625925322,0.007903329664976717,0.001029436883485892,-0.014063174354267058
6.5,2.5,0.008430720724709347,-0.01693422253782228,-0.0014526520785052956,-0.0051999848771691545,0.025164831541755556,-0.008086308651217518,0.0016475463687162357,0.026956103961463522,0.015193492558359709,0.019591372468358913,0.009253785942999922,-0.023970913847687816,0.020581205437379006,8.61151153191151e-05,-0.0028736148292350487
6.5,4.5,-0.028893936749256322,0.02623769049993526,0.001228122437599635,0.04105525283016213,-0.003246317859612091,0.007804488986375151,-0.007158216452585907,-0.01587186992919047,-0.021385523731467918,0.014255587874758228,-0.013978770601012928,-0.003042998271776606,0.015604621211718883,0.020226934394402988,-0.012971565077569271
6.5,6.5,-0.00667652999129028,-0.025116727359913056,-0.0018620581666562387,-0.0065355542353624785,0.022755914983891935,-0.016879613501230104,-0.016697855422541368,-0.018761600424594876,0.028084644268516458,0.0067228923084187665,-0.007050664461198115,0.007602012130990442,-0.009581353607393666,-0.0007568889675947275,-0.010775977076878796
6.5,8.5,0.019572283402140546,-0.0031012460767141864,-0.01922726800772757,0.00331439374719233,-0.005035034895906803,0.0234208098947959,0.0036617385580459544,-0.027989446233086645,-0.021891581947834544,0.039046109028554266,-0.008480613352392702,0.009215061779526535,-0.021758277097418597,0.027916260555921737,-0.005029111925534452
